"id","ph","ec","water_temp","ket","pengaduk","createdAt"
3365,6.43103,1.2617,31.25,0,0,"2023-04-05T06:55:18.000Z"
3366,6.43103,1.2617,31.25,0,0,"2023-04-05T06:55:23.000Z"
3367,6.28325,1.28597,31.25,0,1,"2023-04-05T06:55:27.000Z"
3368,6.34975,1.252,31.25,0,0,"2023-04-05T06:55:32.000Z"
3369,6.34975,1.2617,31.25,0,0,"2023-04-05T06:55:37.000Z"
3370,6.33498,1.29082,31.25,0,1,"2023-04-05T06:55:42.000Z"
3371,6.3867,1.252,31.25,0,0,"2023-04-05T06:55:46.000Z"
3372,6.31281,1.28597,31.25,0,1,"2023-04-05T06:55:51.000Z"
3373,6.3867,1.252,31.25,0,0,"2023-04-05T06:55:56.000Z"
3374,6.28325,1.252,31.25,0,1,"2023-04-05T06:56:00.000Z"
3375,6.43842,1.25685,31.25,0,0,"2023-04-05T06:56:05.000Z"
3376,6.27586,1.25685,31.25,0,1,"2023-04-05T06:56:09.000Z"
3377,6.42365,1.28111,31.25,0,0,"2023-04-05T06:56:14.000Z"
3378,6.27586,1.252,31.25,0,0,"2023-04-05T06:56:19.000Z"
3379,6.43842,1.252,31.25,0,0,"2023-04-05T06:56:23.000Z"
3380,6.27586,1.25685,31.25,0,1,"2023-04-05T06:56:28.000Z"
3381,6.43103,1.2617,31.25,0,0,"2023-04-05T06:56:33.000Z"
3382,6.29803,1.28111,31.25,0,1,"2023-04-05T06:56:37.000Z"
3383,6.36453,1.252,31.25,0,0,"2023-04-05T06:56:42.000Z"
3384,6.39409,1.2533,31.1875,0,1,"2023-04-05T06:56:47.000Z"
3385,6.28325,1.25815,31.1875,0,1,"2023-04-05T06:56:51.000Z"
3386,6.42365,1.25685,31.25,0,0,"2023-04-05T06:56:56.000Z"
3387,6.37192,1.27626,31.25,0,1,"2023-04-05T06:57:00.000Z"
3388,6.29803,1.25685,31.25,0,0,"2023-04-05T06:57:05.000Z"
3389,6.44581,1.2533,31.1875,0,0,"2023-04-05T06:57:10.000Z"
3390,6.29064,1.252,31.25,0,1,"2023-04-05T06:57:14.000Z"
3391,6.37192,1.252,31.25,0,0,"2023-04-05T06:57:19.000Z"
3392,6.39409,1.28111,31.25,0,1,"2023-04-05T06:57:24.000Z"
