"id","ph","ec","water_temp","ket","pengaduk","createdAt"
3096,7.48768,0.340748,31.0625,0,1,"2023-04-05T06:32:00.000Z"
3097,7.67241,0.340748,31.0625,0,0,"2023-04-05T06:32:05.000Z"
3098,7.57635,0.345616,31.0625,0,1,"2023-04-05T06:32:09.000Z"
3099,7.57635,0.345616,31.0625,0,1,"2023-04-05T06:32:14.000Z"
3100,7.63547,0.340748,31.0625,0,1,"2023-04-05T06:32:18.000Z"
3101,7.5468,0.340748,31.0625,0,1,"2023-04-05T06:32:23.000Z"
3102,7.69458,0.345616,31.0625,0,0,"2023-04-05T06:32:28.000Z"
3103,7.4803,0.340748,31.0625,0,1,"2023-04-05T06:32:32.000Z"
3104,7.72414,0.340748,31.0625,0,0,"2023-04-05T06:32:37.000Z"
3105,7.48768,0.340748,31.0625,0,1,"2023-04-05T06:32:42.000Z"
3106,7.70197,0.345616,31.0625,0,0,"2023-04-05T06:32:47.000Z"
3107,7.51724,0.345616,31.0625,0,1,"2023-04-05T06:32:51.000Z"
3108,7.69458,0.340748,31.0625,0,0,"2023-04-05T06:32:56.000Z"
3109,7.50246,0.345616,31.0625,0,1,"2023-04-05T06:33:01.000Z"
3110,7.72414,0.345616,31.0625,0,0,"2023-04-05T06:33:05.000Z"
3111,7.48768,0.335881,31.0625,0,1,"2023-04-05T06:33:10.000Z"
3112,7.67241,0.345616,31.0625,0,1,"2023-04-05T06:33:14.000Z"
3113,7.63547,0.340748,31.0625,0,0,"2023-04-05T06:33:19.000Z"
3114,7.4803,0.345616,31.0625,0,1,"2023-04-05T06:33:24.000Z"
3115,7.58374,0.340748,31.0625,0,1,"2023-04-05T06:33:28.000Z"
3116,7.73153,0.340748,31.0625,0,0,"2023-04-05T06:33:33.000Z"
3117,7.48768,0.384559,31.0625,0,1,"2023-04-05T06:33:38.000Z"
3118,7.58374,0.345616,31.0625,0,1,"2023-04-05T06:33:42.000Z"
3119,7.73153,0.340748,31.0625,0,0,"2023-04-05T06:33:47.000Z"
3120,7.50985,0.340748,31.0625,0,1,"2023-04-05T06:33:52.000Z"
3121,7.56158,0.340748,31.0625,0,1,"2023-04-05T06:33:57.000Z"
