"id","ph","ec","water_temp","ket","pengaduk"
413,9.10076,0.175005,25,0,0
414,9.13854,0.220376,25,0,0
415,9.16121,0.207413,25,0,0
416,9.18388,0.265748,25,0,0
417,9.17632,0.175005,25,0,0
418,9.19144,0.278711,25,0,0
419,9.17632,0.207413,25,0,0
420,9.15365,0.175005,25,0,0
421,9.16121,0.246303,25,0,0
422,9.18388,0.285193,25,0,0
423,9.18388,0.265748,25,0,0
424,9.17632,0.239821,25,0,0
425,9.15365,0.226858,25,0,0
426,9.13854,0.200931,25,0,0
427,9.13098,0.207413,25,0,0
428,9.11587,0.207413,25,0,0
429,9.11587,0.19445,25,0,0
430,9.11587,0.175005,25,0,0
431,9.12343,0.168523,25,0,0
432,9.11587,0.168523,25,0,0
433,9.11587,0.175005,25,0,0
434,9.11587,0.175005,25,0,0
435,9.11587,0.207413,25,0,0
436,9.15365,0.285193,25,0,0
437,9.1461,0.213894,25,0,0
438,9.11587,0.200931,25,0,0
439,9.12343,0.285193,25,0,0
440,9.10831,0.175005,25,0,0
441,9.1461,0.239821,25,0,0
442,9.13854,0.226858,25,0,0
443,9.11587,0.200931,25,0,0
444,9.11587,0.252784,25,0,0
445,9.08564,0.187968,25,0,0
446,9.0932,0.272229,25,0,0
447,9.07053,0.168523,25,0,0
448,9.07809,0.285193,25,0,0
449,9.04786,0.168523,25,0,0
450,9.04786,0.246303,25,0,0
451,9.04786,0.252784,25,0,0
452,9.267,0.175005,25,0,0
453,9.25945,0.220376,25,0,0
454,9.41814,0.272229,25,0,0
455,9.25189,0.200931,25,0,0
456,9.18388,0.162041,25,0,0
457,9.17632,0.226858,25,0,0
458,9.22922,0.265748,25,0,0
459,9.22166,0.168523,25,0,0
460,9.19144,0.200931,25,0,0
461,9.19144,0.278711,25,0,0
462,9.1461,0.220376,25,0,0
463,9.10831,0.162041,25,0,0
464,9.0932,0.168523,25,0,0
465,9.07809,0.181486,25,0,0
466,9.04786,0.187968,25,0,0
467,9.0403,0.19445,25,0,0
468,9.01763,0.181486,25,0,0
469,9.00252,0.175005,25,0,0
470,8.99496,0.187968,25,0,0
471,8.99496,0.200931,25,0,0
472,9.01763,0.265748,25,0,0
473,9.01763,0.220376,25,0,0
474,9.00252,0.168523,25,0,0
475,9.01763,0.259266,25,0,0
476,9.00252,0.200931,25,0,0
477,8.99496,0.162041,25,0,0
478,9.03275,0.259266,25,0,0
479,9.02519,0.200931,25,0,0
480,9.01008,0.15556,25,0,0
481,9.01763,0.246303,25,0,0
482,9.01008,0.220376,25,0,0
483,8.98741,0.162041,25,0,0
484,8.99496,0.233339,25,0,0
485,8.99496,0.252784,25,0,0
486,8.98741,0.162041,25,0,0
487,8.98741,0.175005,25,0,0
488,9.02519,0.252784,25,0,0
489,9.02519,0.246303,25,0,0
490,9.01008,0.15556,25,0,0
491,9.00252,0.19445,25,0,0
492,9.00252,0.272229,25,0,0
493,8.98741,0.187968,25,0,0
494,8.96474,0.15556,25,0,0
495,8.95718,0.19445,25,0,0
496,8.96474,0.246303,25,0,0
497,8.97985,0.278711,25,0,0
498,8.97229,0.259266,25,0,0
499,8.95718,0.239821,25,0,0
500,8.95718,0.213894,25,0,0
501,8.95718,0.226858,25,0,0
502,8.97229,0.239821,25,0,0
503,8.97985,0.200931,25,0,0
504,8.97985,0.175005,25,0,0
505,8.96474,0.149078,25,0,0
506,8.95718,0.168523,25,0,0
507,8.97229,0.213894,25,0,0
508,8.98741,0.265748,25,0,0
509,8.96474,0.220376,25,0,0
510,8.94207,0.162041,25,0,0
511,8.94962,0.246303,25,0,0
512,8.94962,0.278711,25,0,0
513,8.95718,0.187968,25,0,0
514,8.95718,0.187968,25,0,0
515,8.97985,0.285193,25,0,0
516,8.97229,0.168523,25,0,0
517,8.96474,0.200931,25,0,0
518,8.98741,0.285193,25,0,0
519,8.97229,0.19445,25,0,0
520,8.94962,0.207413,25,0,0
521,8.95718,0.278711,25,0,0
522,8.94962,0.187968,25,0,0
523,8.97229,0.285193,25,0,0
524,8.95718,0.233339,25,0,0
525,8.9194,0.207413,25,0,0
526,8.92695,0.298156,25,0,0
527,8.90428,0.207413,25,0,0
528,8.8665,0.200931,25,0,0
529,8.87405,0.291674,25,0,0
530,8.85894,0.233339,25,0,0
531,8.82872,0.187968,25,0,0
532,8.8136,0.252784,25,0,0
533,8.79849,0.317601,25,0,0
534,8.7607,0.239821,25,0,0
535,8.73048,0.19445,25,0,0
536,8.70025,0.213894,25,0,0
537,8.68514,0.246303,25,0,0
538,8.67002,0.291674,25,0,0
539,8.64736,0.324083,25,0,0
540,8.6398,0.324083,25,0,0
541,8.63224,0.317601,25,0,0
542,8.63224,0.304638,25,0,0
543,8.6398,0.265748,25,0,0
544,8.64736,0.259266,25,0,0
545,8.64736,0.272229,25,0,0
546,8.64736,0.285193,25,0,0
547,8.64736,0.304638,25,0,0
548,8.64736,0.304638,25,0,0
549,8.64736,0.298156,25,0,0
550,8.66247,0.330564,25,0,0
551,8.70025,0.375936,25,0,0
552,8.73048,0.414826,25,0,0
