"id","ph","ec","water_temp","ket","pengaduk"
2486,11.073,0.110188,25,0,0
2487,10.9899,0.110188,25,0,0
2488,10.7935,0.110188,25,0,0
2489,11.1486,0.110188,25,0,0
2490,10.9824,0.110188,25,0,0
2491,10.8237,0.110188,25,0,0
2492,10.8615,0.110188,25,0,0
2493,10.9673,0.110188,25,0,0
2494,10.6877,0.110188,25,0,0
2495,10.9521,0.110188,25,0,0
2496,11.1335,0.110188,25,0,0
2497,10.9144,0.110188,25,0,0
2498,10.8766,0.110188,25,0,0
2499,11.1637,0.110188,25,0,0
2500,11.0126,0.110188,25,0,0
2501,11.2469,0.110188,25,0,0
2502,10.9446,0.110188,25,0,0
2503,11.1562,0.110188,25,0,0
2504,10.7632,0.110188,25,0,0
2505,10.7406,0.110188,25,1,0
2506,10.6877,0.11667,25,1,0
2507,11.1108,0.136115,25,1,0
2508,11.1788,0.15556,25,1,0
2509,11.1411,0.187968,25,1,0
2510,11.4055,0.200931,25,1,0
2511,11.4358,0.207413,25,1,0
2512,11.1562,0.207413,25,1,0
2513,11.0882,0.220376,25,1,0
2514,11.1486,0.220376,25,1,0
2515,10.8388,0.220376,25,1,0
2516,11.0202,0.226858,25,1,0
2517,10.8161,0.226858,25,1,0
2518,10.8766,0.226858,25,1,0
2519,11.0353,0.226858,25,1,0
2520,10.801,0.233339,25,1,0
2521,10.9975,0.233339,25,1,0
2522,10.7103,0.239821,25,1,0
2523,10.8615,0.239821,25,1,0
2524,10.7935,0.246303,25,1,0
2525,10.8463,0.246303,25,1,0
2526,10.7254,0.246303,25,1,0
2527,10.6877,0.246303,25,1,0
2528,10.7708,0.252784,25,1,0
2529,10.7179,0.252784,25,1,0
2530,10.7254,0.252784,25,1,0
2531,10.6952,0.259266,25,1,0
2532,10.7254,0.259266,25,1,0
2533,10.597,0.259266,25,1,0
2534,10.801,0.259266,25,1,0
2535,10.5743,0.265748,25,1,0
2536,10.6801,0.265748,25,1,0
2537,10.7028,0.265748,25,1,0
2538,10.461,0.265748,25,1,0
2539,10.5592,0.265748,25,1,0
2540,10.4534,0.259266,25,1,0
2541,10.272,0.272229,25,1,0
2542,10.6045,0.278711,25,1,0
2543,10.6574,0.278711,25,1,0
2544,10.5894,0.278711,25,1,0
2545,10.7708,0.278711,25,1,0
2546,10.7103,0.278711,25,1,0
2547,10.5592,0.285193,25,1,0
2548,10.733,0.285193,25,1,0
2549,10.5894,0.285193,25,1,0
2550,10.6121,0.285193,25,1,0
2551,10.7028,0.285193,25,1,0
2552,10.5441,0.291674,25,1,0
2553,10.7557,0.291674,25,1,0
2554,10.6877,0.291674,25,1,0
2555,10.3476,0.291674,25,1,0
2556,10.665,0.291674,25,1,0
2557,10.4458,0.298156,25,1,0
2558,10.5592,0.298156,25,1,0
2559,10.6801,0.298156,25,1,0
2560,10.4685,0.298156,25,1,0
2561,10.6348,0.298156,25,1,0
2562,10.6801,0.298156,25,1,0
2563,10.5894,0.298156,25,1,0
2564,10.5365,0.304638,25,1,0
2565,10.6801,0.304638,25,1,0
2566,10.733,0.304638,25,1,0
2567,10.665,0.304638,25,1,0
2568,10.5894,0.304638,25,1,0
2569,10.7557,0.304638,25,1,0
2570,10.8086,0.311119,25,1,0
2571,10.7028,0.311119,25,1,0
2572,10.6196,0.311119,25,1,0
2573,10.8841,0.311119,25,1,0
2574,10.9597,0.311119,25,1,0
