"id","ph","ec","water_temp","ket","pengaduk"
1095,9.33501,0.175005,25,0,0
1096,9.44836,0.168523,25,0,0
1097,9.3728,0.168523,25,0,0
1098,9.38035,0.168523,25,0,0
1099,9.36524,0.168523,25,0,0
1100,9.34257,0.168523,25,0,0
1101,9.43325,0.175005,25,0,0
1102,9.31234,0.168523,25,0,0
1103,9.40302,0.175005,25,0,0
1104,9.38791,0.168523,25,0,0
1105,9.31234,0.175005,25,0,0
1106,9.41814,0.175005,25,0,0
1107,9.41814,0.175005,25,0,0
1108,9.36524,0.175005,25,0,0
1109,9.30479,0.168523,25,0,0
1110,9.31234,0.168523,25,0,0
1111,9.38035,0.168523,25,0,0
1112,9.40302,0.168523,25,0,0
1113,9.40302,0.168523,25,0,0
1114,9.41814,0.175005,25,0,0
1115,9.39547,0.168523,25,0,0
1116,9.36524,0.168523,25,1,0
1117,9.28967,0.181486,25,1,1
1118,9.28967,0.213894,25,1,1
1119,9.30479,0.226858,25,1,1
1120,9.40302,0.291674,25,1,1
1121,9.53904,0.311119,25,1,1
1122,9.53149,0.350009,25,1,1
1123,9.40302,0.324083,25,1,1
1124,9.30479,0.330564,25,1,1
1125,9.31234,0.317601,25,1,1
1126,9.267,0.324083,25,1,1
1127,9.20655,0.330564,25,1,1
1128,9.25945,0.337046,25,1,1
1129,9.13098,0.343527,25,1,1
1130,9.19144,0.337046,25,1,1
1131,9.10076,0.350009,25,1,1
1132,9.16121,0.330564,25,1,1
1133,9.10076,0.375936,25,1,1
1134,9.07809,0.375936,25,1,1
1135,9.10831,0.356491,25,1,1
1136,9.03275,0.388899,25,1,1
1137,9.01763,0.356491,25,1,1
1138,9.05542,0.382417,25,1,1
1139,9.06297,0.369454,25,1,1
1140,9.01008,0.350009,25,1,1
1141,9.03275,0.356491,25,1,1
1142,9.0403,0.350009,25,1,1
1143,9.01763,0.356491,25,1,1
1144,8.99496,0.362972,25,1,1
1145,9.00252,0.350009,25,1,1
1146,9.07053,0.343527,25,1,1
1147,9.0403,0.343527,25,1,1
1148,9.01008,0.362972,25,1,1
1149,8.97985,0.362972,25,1,1
1150,8.94962,0.356491,25,1,1
1151,8.91184,0.369454,25,1,1
1152,8.84383,0.350009,25,1,1
1153,8.83627,0.382417,25,1,1
1154,8.8136,0.350009,25,1,1
1155,8.80605,0.369454,25,1,1
1156,8.79093,0.350009,25,1,1
1157,8.82872,0.350009,25,1,1
1158,8.80605,0.369454,25,1,1
1159,8.78337,0.356491,25,1,1
1160,8.8136,0.375936,25,1,1
1161,8.73804,0.382417,25,1,1
1162,8.80605,0.382417,25,1,1
1163,8.76826,0.375936,25,1,1
1164,8.79849,0.375936,25,1,1
1165,8.73048,0.369454,25,1,1
1166,8.76826,0.375936,25,1,1
1167,8.70781,0.388899,25,1,1
1168,8.74559,0.388899,25,1,1
1169,8.70781,0.382417,25,1,1
1170,8.67758,0.388899,25,1,1
1171,8.74559,0.388899,25,1,1
1172,8.70781,0.388899,25,1,1
1173,8.70025,0.395381,25,1,1
1174,8.72292,0.401862,25,1,1
1175,8.73804,0.401862,25,1,1
1176,8.6927,0.401862,25,1,1
1177,8.67002,0.408344,25,1,1
1178,8.70025,0.401862,25,1,1
1179,8.70781,0.401862,25,1,1
1180,8.67002,0.401862,25,1,1
1181,8.6398,0.401862,25,1,1
1182,8.67758,0.408344,25,1,1
1183,8.6927,0.408344,25,1,1
1184,8.64736,0.382417,25,1,1
1185,8.60957,0.382417,25,1,0
1186,8.60957,0.382417,25,1,0
1187,8.62469,0.382417,25,1,0
