"id","ph","ec","water_temp","ket","pengaduk"
2082,12.5088,0.110188,25,0,0
2083,12.5617,0.110188,25,0,0
2084,12.539,0.110188,25,0,0
2085,12.5239,0.110188,25,0,0
2086,12.5239,0.110188,25,0,0
2087,12.5542,0.110188,25,0,0
2088,12.5542,0.110188,25,0,0
2089,12.5315,0.110188,25,0,0
2090,12.5164,0.110188,25,0,0
2091,12.5239,0.110188,25,0,0
2092,12.5164,0.110188,25,0,0
2093,12.5013,0.110188,25,0,0
2094,12.5315,0.110188,25,0,0
2095,12.5239,0.110188,25,0,0
2096,12.5164,0.110188,25,0,0
2097,12.4937,0.110188,25,0,0
2098,12.5164,0.110188,25,0,0
2099,12.5164,0.110188,25,0,0
2100,12.5088,0.110188,25,0,0
2101,12.5164,0.110188,25,0,0
2102,12.5013,0.110188,25,0,0
2103,12.5164,0.11667,25,0,1
2104,12.5768,0.11667,25,0,1
2105,12.6373,0.123151,25,0,1
2106,12.6826,0.123151,25,1,1
2107,12.6826,0.136115,25,1,1
2108,12.6826,0.142596,25,1,1
2109,12.6902,0.142596,25,1,1
2110,12.7204,0.15556,25,1,1
2111,12.7355,0.162041,25,1,1
2112,12.7506,0.162041,25,1,1
2113,12.7733,0.162041,25,1,1
2114,12.7884,0.175005,25,1,1
2115,12.7884,0.175005,25,1,1
2116,12.7809,0.175005,25,1,1
2117,12.7884,0.175005,25,1,1
2118,12.8111,0.181486,25,1,1
2119,12.8111,0.181486,25,1,1
2120,12.8338,0.187968,25,1,1
2121,12.8186,0.19445,25,1,1
2122,12.796,0.187968,25,1,1
2123,12.8111,0.187968,25,1,1
2124,12.8035,0.187968,25,1,1
2125,12.7733,0.187968,25,1,1
2126,12.8186,0.200931,25,1,1
2127,12.9018,0.213894,25,1,1
2128,12.8942,0.220376,25,1,1
2129,13.0076,0.220376,25,1,1
2130,12.9849,0.226858,25,1,1
2131,13.0227,0.233339,25,1,1
2132,13,0.233339,25,1,1
2133,13.0529,0.233339,25,1,1
2134,13.0378,0.239821,25,1,1
2135,13.068,0.233339,25,1,1
2136,13.0605,0.233339,25,1,1
2137,13.0605,0.233339,25,1,1
2138,13.0756,0.239821,25,1,1
2139,13.0982,0.239821,25,1,1
2140,13.0907,0.239821,25,1,1
2141,13.1058,0.252784,25,1,1
2142,13.068,0.246303,25,1,1
2143,13.1058,0.246303,25,1,1
2144,13.0605,0.252784,25,1,1
2145,13.0529,0.246303,25,1,1
2146,13.068,0.252784,25,1,1
